cik,start_date,end_date,label
0001525773,20160514,20190514,1
0001022646,20160514,20190514,1
0001594361,20160511,20190511,1
0001575969,20160510,20190510,1
0000006885,20160510,20190510,1
0000949039,20160426,20190426,1
0001135657,20160416,20190416,1
0000081318; 0001672326,20160415,20190415,1
0000020520,20160414,20190414,1
0001669812,20160413,20190413,1
0001650445,20160407,20190407,1
0001255474,20160401,20190401,1
0000920448,20160330,20190330,1
0001009672,20160329,20190329,1
0001043720; 0001505497,20160320,20190320,1
0001456212,20160313,20190313,1
0001390072,20160313,20190313,1
0001540729,20160310,20190310,1
0000820600,20160310,20190310,1
0001425565,20160305,20190305,1
0000320575,20160301,20190301,1
0000278130,20160217,20190217,1
0001056087,20160213,20190213,1
0001619250; 0001445274,20160209,20190209,1
0001040792,20160128,20190128,1
0000708819,20160121,20190121,1
0001048620,20151216,20181216,1
0001526689,20151215,20181215,1
0000865941,20151208,20181208,1
0001648893,20151112,20181112,1
0001386026; 0001091293,20151024,20181024,1
0001001495; 0000896985,20151021,20181021,1
0001584952,20151003,20181003,1
0001656328,20150916,20180916,1
0001690769,20150911,20180911,1
0001568079,20150904,20180904,1
0001528837,20150811,20180811,1
0001051191; 0001282648,20150807,20180807,1
0001387156,20150724,20180724,1
0001453090; 0001603923; 0001170565,20150701,20180701,1
0001265107,20150630,20180630,1
0000942788; 0001409532; 0001516479,20150610,20180610,1
0001509692,20150430,20180430,1
0001265572,20150430,20180430,1
0001301501,20150415,20180415,1
0001384072; 0001464666,20150331,20180331,1
0001282266; 0001362222,20150225,20180225,1
0001208261,20150217,20180217,1
0001013238,20150215,20180215,1
0001004980,20150129,20180129,1
0001071760,20141221,20171221,1
0000076321,20141212,20171212,1
0001586105,20141030,20171030,1
0001549145,20141022,20171022,1
0001310067; 0000056824; 0001229206,20141015,20171015,1
0000015486,20140816,20170816,1
0001028153,20140810,20170810,1
0001429896,20140715,20170715,1
0001554875,20140710,20170710,1
0001403085,20140629,20170629,1
0000753772,20140508,20170508,1
0001402281,20140425,20170425,1
0001361937,20140402,20170402,1
0001400891,20140314,20170314,1
0000878079,20140204,20170204,1
0001561551,20140129,20170129,1
0001499912,20131211,20161211,1
0001429386,20131211,20161211,1
0001088787,20131207,20161207,1
0001058623,20131129,20161129,1
0001046986,20131129,20161129,1
0000038984,20131117,20161117,1
0001517342,20131112,20161112,1
0001043799,20131013,20161013,1
0001378195,20130920,20160920,1
0001737706; 0001456471; 0001351413,20130912,20160912,1
0001375996; 0001171012,20130830,20160830,1
0000318716,20130821,20160821,1
0001087734,20130816,20160816,1
0001093207,20130813,20160813,1
0001311230; 0001555667,20130802,20160802,1
0001526796,20130606,20160606,1
0000098222,20130517,20160517,1
0000054681,20130514,20160514,1
0001496631,20130511,20160511,1
0001403853,20130501,20160501,1
0001049505,20130501,20160501,1
0001476170,20130412,20160412,1
0000918581,20130409,20160409,1
0001044435,20130322,20160322,1
0001398702,20130316,20160316,1
0001490636; 0000924120,20130313,20160313,1
0001396279,20130306,20160306,1
0001421601,20130301,20160301,1
0001315028; 0001062781,20130206,20160206,1
0001456455,20130131,20160131,1
0001575599; 0001621048,20130130,20160130,1
0001434842,20130122,20160122,1
0001521847; 0001533924,20130116,20160116,1
0001376755,20130110,20160110,1
0001496707; 0001509589,20130104,20160104,1
0001122051,20121115,20151115,1
0001109189,20121025,20151025,1
0000318996,20121024,20151024,1
0000792094,20121014,20151014,1
0000776008,20120927,20150927,1
0000922475,20120916,20150916,1
0001521476,20120907,20150907,1
0001532750,20120727,20150727,1
0001135906,20120725,20150725,1
0001025953,20120720,20150720,1
0001036968; 0001114348,20120613,20150613,1
0001330849,20120605,20150605,1
0000320174,20120523,20150523,1
0001116927,20120523,20150523,1
0001613011,20120518,20150518,1
0001349436,20120516,20150516,1
0000030419; 0001556739,20120516,20150516,1
0000077159,20120512,20150512,1
0001346980,20120509,20150509,1
0001168213,20120504,20150504,1
0001385228,20120501,20150501,1
0000943861,20120415,20150415,1
0001064728,20120413,20150413,1
0001473061,20120401,20150401,1
0001283843,20120322,20150322,1
0001560443,20120315,20150315,1
0000869688,20120314,20150314,1
0001289550,20120310,20150310,1
0000800286,20120224,20150224,1
0001086303,20120223,20150223,1
0000930797; 0001582054,20120208,20150208,1
0001405686,20120203,20150203,1
0001562594,20120127,20150127,1
0001091596,20120126,20150126,1
0001421182,20120126,20150126,1
0001314054,20120122,20150122,1
0001109153,20120115,20150115,1
0001424640,20120112,20150112,1
0001037676,20120111,20150111,1
0000351817,20111231,20141231,1
0001293310,20111229,20141229,1
0001046057; 0001069808,20111208,20141208,1
0001124024,20111110,20141110,1
0001015979,20111103,20141103,1
0001023994,20111015,20141015,1
0001299967,20110930,20140930,1
0000728249,20110930,20140930,1
