[06.01.20 00:46:52] Args: {
    "batch_size": 64,
    "class_weights": [
        0.64205186,
        2.25992063
    ],
    "company_files": "dataset.csv",
    "data_shuffle": false,
    "dataset_version": "0.0.1",
    "decay_rate": 0.95,
    "decay_steps": 10000,
    "download_path": "~",
    "drop_prob": 0.4,
    "eval_steps": 100,
    "hidden_size": 1024,
    "input_dir": "./data",
    "learning_rate": 0.5,
    "load_path": null,
    "log_device_placement": false,
    "max_checkpoints": 5,
    "max_document_size": 250,
    "max_sentence_length": 512,
    "metric_name": "mse_loss",
    "model": "baseline",
    "name": "baseline",
    "num_epochs": 50,
    "number_of_periods": 3,
    "optimizer": "Adadelta",
    "save_dir": "./save/",
    "seed": 224,
    "use_lr_scheduler": false
}
[06.01.20 00:50:15] Training step - 7 train_loss - 0.922885850071907, train_accuracy - 0.2542857229709625), train_recall_class_0 - 0.04089219495654106), train_recall_class_1 - 0.9629629850387573), train_precision_class_0 - 0.7857142686843872), train_precision_class_1 - 0.2321428507566452), train_auc - 0.21802449226379395)
[06.01.20 00:50:41] Training step - 7 dev_loss - 1.1386839151382446, dev_accuracy - 0.26829269528388977), dev_recall_class_0 - 0.0), dev_recall_class_1 - 1.0), dev_precision_class_0 - 0.0), dev_precision_class_1 - 0.26829269528388977), dev_auc - 0.34741225838661194)
[06.01.20 00:54:01] Training step - 13 train_loss - 0.8736334592103958, train_accuracy - 0.37714284658432007), train_recall_class_0 - 0.24163569509983063), train_recall_class_1 - 0.8271604776382446), train_precision_class_0 - 0.8227847814559937), train_precision_class_1 - 0.24723246693611145), train_auc - 0.36325713992118835)
[06.01.20 00:54:27] Training step - 13 dev_loss - 0.9068587422370911, dev_accuracy - 0.7804877758026123), dev_recall_class_0 - 0.9333333373069763), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.800000011920929), dev_precision_class_1 - 0.6666666865348816), dev_auc - 0.7513384819030762)
[06.01.20 00:57:43] Training step - 19 train_loss - 0.736572782198588, train_accuracy - 0.7971428632736206), train_recall_class_0 - 0.8029739856719971), train_recall_class_1 - 0.7777777910232544), train_precision_class_0 - 0.9230769276618958), train_precision_class_1 - 0.5431034564971924), train_auc - 0.8661142587661743)
[06.01.20 00:58:09] Training step - 19 dev_loss - 0.9460074305534363, dev_accuracy - 0.6341463327407837), dev_recall_class_0 - 0.6333333253860474), dev_recall_class_1 - 0.6363636255264282), dev_precision_class_0 - 0.8260869383811951), dev_precision_class_1 - 0.3888888955116272), dev_auc - 0.632361650466919)
[06.01.20 01:01:27] Training step - 25 train_loss - 0.7605062127113342, train_accuracy - 0.7028571367263794), train_recall_class_0 - 0.7100371718406677), train_recall_class_1 - 0.6790123581886292), train_precision_class_0 - 0.8801843523979187), train_precision_class_1 - 0.4135338366031647), train_auc - 0.7587795853614807)
[06.01.20 01:01:52] Training step - 25 dev_loss - 0.8685886859893799, dev_accuracy - 0.7804877758026123), dev_recall_class_0 - 0.9333333373069763), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.800000011920929), dev_precision_class_1 - 0.6666666865348816), dev_auc - 0.7572873830795288)
[06.01.20 01:05:09] Training step - 31 train_loss - 0.6380087931950887, train_accuracy - 0.8999999761581421), train_recall_class_0 - 0.8996282815933228), train_recall_class_1 - 0.9012345671653748), train_precision_class_0 - 0.9679999947547913), train_precision_class_1 - 0.7300000190734863), train_auc - 0.9355428218841553)
[06.01.20 01:05:35] Training step - 31 dev_loss - 0.8592048287391663, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.9333333373069763), dev_recall_class_1 - 0.27272728085517883), dev_precision_class_0 - 0.7777777910232544), dev_precision_class_1 - 0.6000000238418579), dev_auc - 0.7662105560302734)
[06.01.20 01:08:51] Training step - 37 train_loss - 0.6386651992797852, train_accuracy - 0.8571428656578064), train_recall_class_0 - 0.832713782787323), train_recall_class_1 - 0.9382715821266174), train_precision_class_0 - 0.9781659245491028), train_precision_class_1 - 0.6280992031097412), train_auc - 0.9101877212524414)
[06.01.20 01:09:17] Training step - 37 dev_loss - 0.850130021572113, dev_accuracy - 0.7560975551605225), dev_recall_class_0 - 0.9333333373069763), dev_recall_class_1 - 0.27272728085517883), dev_precision_class_0 - 0.7777777910232544), dev_precision_class_1 - 0.6000000238418579), dev_auc - 0.7549077868461609)
[06.01.20 01:12:34] Training step - 43 train_loss - 0.5790465672810873, train_accuracy - 0.9285714030265808), train_recall_class_0 - 0.9293680191040039), train_recall_class_1 - 0.9259259104728699), train_precision_class_0 - 0.9765625), train_precision_class_1 - 0.7978723645210266), train_auc - 0.9546693563461304)
[06.01.20 01:12:59] Training step - 43 dev_loss - 0.8801255822181702, dev_accuracy - 0.707317054271698), dev_recall_class_0 - 0.8333333134651184), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.78125), dev_precision_class_1 - 0.4444444477558136), dev_auc - 0.713860809803009)
[06.01.20 01:16:13] Training step - 49 train_loss - 0.5638945947090784, train_accuracy - 0.9428571462631226), train_recall_class_0 - 0.9405204653739929), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9844357967376709), train_precision_class_1 - 0.8279569745063782), train_auc - 0.950995922088623)
[06.01.20 01:16:38] Training step - 49 dev_loss - 0.8791612982749939, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.7085067629814148)
[06.01.20 01:19:49] Training step - 55 train_loss - 0.5518703063329061, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.957322359085083)
[06.01.20 01:20:14] Training step - 55 dev_loss - 0.87852543592453, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.7067221999168396)
[06.01.20 01:23:26] Training step - 61 train_loss - 0.5471293528874716, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9575019478797913)
[06.01.20 01:23:51] Training step - 61 dev_loss - 0.8765223622322083, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.7037477493286133)
[06.01.20 01:27:02] Training step - 67 train_loss - 0.5435791909694672, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9576734900474548)
[06.01.20 01:27:27] Training step - 67 dev_loss - 0.873939037322998, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.7055324912071228)
[06.01.20 01:30:39] Training step - 73 train_loss - 0.5406672358512878, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9575673341751099)
[06.01.20 01:31:04] Training step - 73 dev_loss - 0.8711523413658142, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.7031528949737549)
[06.01.20 01:34:16] Training step - 79 train_loss - 0.5382112214962641, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.957502007484436)
[06.01.20 01:34:41] Training step - 79 dev_loss - 0.8683144450187683, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.7025579810142517)
[06.01.20 01:37:52] Training step - 85 train_loss - 0.5361021906137466, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9575101137161255)
[06.01.20 01:38:17] Training step - 85 dev_loss - 0.8654944896697998, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.7001784443855286)
[06.01.20 01:41:34] Training step - 91 train_loss - 0.5342612614234289, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9578694105148315)
[06.01.20 01:41:59] Training step - 91 dev_loss - 0.8627184629440308, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6995835900306702)
[06.01.20 01:45:16] Training step - 97 train_loss - 0.5326291024684906, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9574449062347412)
[06.01.20 01:45:41] Training step - 97 dev_loss - 0.8599902987480164, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.695419430732727)
[06.01.20 01:47:29] Training step - 100 train_loss - 0.5710637172063192, train_accuracy - 0.9583333134651184), train_recall_class_0 - 0.9459459185600281), train_recall_class_1 - 1.0), train_precision_class_0 - 1.0), train_precision_class_1 - 0.8461538553237915), train_auc - 0.960096538066864)
[06.01.20 01:48:57] Training step - 103 train_loss - 0.531161367893219, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9578449130058289)
[06.01.20 01:49:23] Training step - 103 dev_loss - 0.8573040962219238, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6960142850875854)
[06.01.20 01:52:39] Training step - 109 train_loss - 0.5298250714937845, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9547673463821411)
[06.01.20 01:53:05] Training step - 109 dev_loss - 0.8546517491340637, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.697204053401947)
[06.01.20 01:56:20] Training step - 115 train_loss - 0.5285960485537847, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9552571177482605)
[06.01.20 01:56:46] Training step - 115 dev_loss - 0.8520265221595764, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6942296028137207)
[06.01.20 02:00:03] Training step - 121 train_loss - 0.527456670999527, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9566285610198975)
[06.01.20 02:00:28] Training step - 121 dev_loss - 0.8494226336479187, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6900655031204224)
[06.01.20 02:03:40] Training step - 127 train_loss - 0.5263940294583639, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9555755257606506)
[06.01.20 02:04:05] Training step - 127 dev_loss - 0.8468372821807861, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6900654435157776)
[06.01.20 02:07:17] Training step - 133 train_loss - 0.5253988405068716, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9571266770362854)
[06.01.20 02:07:42] Training step - 133 dev_loss - 0.8442692756652832, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6972041130065918)
[06.01.20 02:10:53] Training step - 139 train_loss - 0.5244642297426859, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9589632749557495)
[06.01.20 02:11:18] Training step - 139 dev_loss - 0.8417189717292786, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6983938217163086)
[06.01.20 02:14:30] Training step - 145 train_loss - 0.5235850811004639, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.958775520324707)
[06.01.20 02:14:55] Training step - 145 dev_loss - 0.8391880989074707, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.7001785039901733)
[06.01.20 02:18:06] Training step - 151 train_loss - 0.5227574656407038, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9549061059951782)
[06.01.20 02:18:31] Training step - 151 dev_loss - 0.8366790413856506, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.7001785039901733)
[06.01.20 02:21:43] Training step - 157 train_loss - 0.5219782566030821, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.956261157989502)
[06.01.20 02:22:08] Training step - 157 dev_loss - 0.8341948390007019, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6977989077568054)
[06.01.20 02:25:23] Training step - 163 train_loss - 0.5212448562184969, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9558613896369934)
[06.01.20 02:25:49] Training step - 163 dev_loss - 0.8317386507987976, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6983937621116638)
[06.01.20 02:29:03] Training step - 169 train_loss - 0.5205548256635666, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9554978609085083)
[06.01.20 02:29:28] Training step - 169 dev_loss - 0.8293142318725586, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6983938217163086)
[06.01.20 02:32:40] Training step - 175 train_loss - 0.5199060241381327, train_accuracy - 0.9514285922050476), train_recall_class_0 - 0.9516728520393372), train_recall_class_1 - 0.9506173133850098), train_precision_class_0 - 0.9846153855323792), train_precision_class_1 - 0.855555534362793), train_auc - 0.9565960168838501)
[06.01.20 02:33:05] Training step - 175 dev_loss - 0.8269246816635132, dev_accuracy - 0.7317073345184326), dev_recall_class_0 - 0.8666666746139526), dev_recall_class_1 - 0.3636363744735718), dev_precision_class_0 - 0.7878788113594055), dev_precision_class_1 - 0.5), dev_auc - 0.6995835900306702)
